us 100	101 102 103 104 105
0	3	5	3	1	1	1
1	5	5	2	2	1	3
2	1	2	4	4	1	2
3	5	4	1	3	5	3
4	2	5	3	5	3	1
5	4	2	3	3	4	1
6	2	2	5	2	1	4
7	4	2	2	3	3	2
8	4	1	1	1	2	4
9	3	3	4	2	5	2
10	2	1	3	4	4	4
11	2	4	4	1	2	2
12	4	4	5	2	2	3
13	2	4	2	4	5	1
14	1	4	4	2	5	2
15	2	4	1	1	5	4
16	5	4	5	1	2	2
17	2	4	1	1	3	5
18	5	3	2	2	1	4
19	1	4	4	1	4	4
20	5	2	4	2	4	2
21	4	1	2	2	4	3
22	2	4	5	3	5	3
23	1	2	3	2	2	5
24	5	4	4	3	4	5
25	4	1	5	2	1	5
26	4	5	1	1	5	5
27	2	1	3	3	5	4
28	2	3	4	2	3	5
29	2	1	2	1	2	1
30	5	3	4	4	4	1
31	4	5	2	3	1	4
32	3	2	2	3	2	4
33	5	2	5	1	5	1
34	5	1	2	2	3	4
35	4	4	5	4	1	4
36	5	4	1	4	1	1
37	1	5	4	2	5	5
38	2	4	1	5	4	1
39	1	4	2	3	2	1
40	2	4	4	2	2	2
41	4	5	4	3	2	5
42	3	2	2	3	2	4
43	5	5	1	3	2	5
44	1	2	3	2	5	3
45	2	3	1	5	4	3
46	5	3	4	1	2	5
47	5	5	3	3	5	1
48	1	4	3	3	2	2
49	3	2	4	3	3	3
50	1	1	2	1	2	3
51	3	4	4	2	3	4
52	4	3	2	2	4	2
53	3	5	3	4	4	4
54	1	2	3	1	5	1
55	1	2	1	2	5	3
56	4	4	5	4	5	1
57	4	5	2	4	1	4
58	4	5	4	1	4	5
59	3	2	3	4	3	5
60	2	5	4	1	1	5
61	5	3	2	3	1	5
62	5	4	3	1	4	5
63	5	2	1	3	1	3
64	5	4	3	2	2	3
65	1	1	4	5	3	3
66	3	5	1	3	5	4
67	1	1	4	2	2	4
68	2	5	5	3	1	3
69	1	1	1	5	1	5
70	4	3	5	2	5	1
71	3	1	1	3	2	3
72	1	4	4	5	2	4
73	4	4	2	2	3	5
74	1	4	1	1	4	3
75	5	1	2	2	2	3
76	1	2	3	5	2	4
77	3	5	1	2	2	1
78	3	5	4	3	3	5
79	4	5	3	2	2	5
80	4	1	3	4	3	4
81	3	4	2	2	1	2
82	1	2	2	5	4	1
83	2	1	5	3	5	5
84	3	5	3	1	2	2
85	2	2	1	2	2	5
86	1	3	4	4	3	2
87	1	5	4	2	5	5
88	4	5	3	3	5	5
89	5	5	4	3	1	3
90	1	2	3	3	1	2
91	2	2	4	1	5	2
92	5	2	1	2	1	5
93	4	4	1	2	2	5
94	4	1	4	1	5	5
95	1	3	2	2	3	2
96	3	2	4	1	3	5
97	5	3	3	2	2	3
98	1	1	3	3	1	1
99	5	4	2	5	2	3
100	1	4	4	5	1	5
101	2	2	4	1	3	1
102	5	2	2	3	4	1
103	1	5	1	3	4	5
104	4	1	4	3	2	3
105	2	4	4	5	5	5
106	4	4	2	3	4	4
107	3	3	2	4	5	4
108	1	3	1	1	5	3
109	2	4	3	4	2	3
110	4	1	4	3	2	2
111	2	1	1	2	2	5
112	4	2	1	2	2	1
113	5	4	3	2	1	1
114	2	4	5	4	5	3
115	1	2	2	3	3	4
116	3	2	1	5	2	5
117	4	4	2	4	1	4
118	3	2	3	4	1	1
119	1	5	5	3	5	4
120	1	3	5	5	2	1
121	4	2	1	3	4	3
122	3	4	5	4	5	4
123	1	3	4	2	5	4
124	4	2	3	2	5	3
125	5	2	1	4	1	2
126	4	4	4	2	5	1
127	4	1	3	5	1	4
128	5	2	5	5	5	1
129	3	5	3	2	1	2
130	1	1	5	2	4	3
131	1	4	5	1	5	3
132	4	4	5	3	2	3
133	5	3	5	2	2	1
134	2	3	3	5	4	4
135	2	1	1	5	2	3
136	3	4	2	3	2	1
137	4	5	1	5	3	1
138	1	2	2	1	4	1
139	5	3	4	2	4	4
140	3	5	2	1	4	4
141	3	5	3	5	2	4
142	5	1	5	5	1	3
143	1	1	3	5	5	1
144	3	2	4	3	2	5
145	4	5	5	1	5	1
146	5	1	1	5	4	5
147	1	3	5	3	4	3
148	1	5	5	2	4	5
149	3	5	3	3	5	4
150	4	1	2	2	5	5
151	4	4	3	4	4	1
152	2	3	1	1	3	5
153	4	2	3	3	3	3
154	1	2	1	3	2	2
155	1	4	1	4	1	5
156	5	3	2	1	2	2
157	4	4	1	3	3	5
158	5	5	4	1	4	3
159	2	4	5	4	5	5
160	4	5	2	2	2	2
161	4	1	5	3	2	4
162	1	2	2	5	5	4
163	2	2	2	2	5	4
164	1	1	5	3	5	3
165	1	3	2	1	2	2
166	1	4	4	1	2	4
167	4	3	5	1	4	4
168	2	1	1	5	5	2
169	4	3	5	4	5	1
170	5	1	4	3	1	4
171	1	3	3	4	3	2
172	3	2	1	1	5	5
173	2	2	4	1	1	2
174	1	1	2	5	4	2
175	5	4	3	3	4	5
176	4	1	1	2	4	2
177	4	5	2	2	3	3
178	5	5	2	1	4	1
179	3	2	5	2	5	4
180	5	4	4	3	4	5
181	5	1	2	4	5	2
182	5	2	3	1	5	2
183	2	3	5	3	5	4
184	4	4	3	3	5	1
185	2	4	4	2	5	2
186	1	5	5	2	5	4
187	3	3	5	4	4	5
188	2	2	5	1	2	4
189	4	4	2	2	1	5
190	1	3	1	2	2	1
191	5	1	3	4	4	1
192	5	3	3	5	5	5
193	4	1	4	1	3	3
194	2	4	4	5	3	2
195	5	1	3	5	1	5
196	4	1	1	1	5	5
197	4	1	1	5	5	2
198	4	1	5	5	4	5
199	3	3	5	2	5	5
200	2	3	2	1	4	5
201	4	3	1	1	1	4
202	2	3	5	1	3	1
203	3	5	2	4	1	5
204	2	4	4	2	1	2
205	3	1	5	2	4	3
206	5	3	5	2	5	2
207	5	2	4	4	5	5
208	2	3	1	3	3	2
209	5	5	2	5	5	5
210	1	5	4	1	4	3
211	2	5	1	3	2	2
212	5	1	5	2	5	4
213	5	3	3	1	3	1
214	2	5	1	2	3	3
215	2	5	3	2	1	1
216	3	2	1	5	2	3
217	5	2	4	3	3	4
218	5	3	1	5	4	4
219	1	1	3	2	3	5
220	4	4	2	4	4	5
221	4	5	3	4	4	5
222	5	1	1	2	3	5
223	2	4	5	2	1	4
224	1	4	1	3	1	4
225	4	1	2	3	2	2
226	3	5	2	4	4	5
227	3	5	5	4	2	1
228	4	4	4	5	4	4
229	2	5	1	5	3	1
230	1	5	4	4	4	4
231	5	4	1	3	5	4
232	3	5	3	4	1	3
233	2	5	3	3	3	5
234	2	2	1	3	1	3
235	3	4	4	2	3	4
236	3	1	3	4	2	5
237	3	2	4	1	4	3
238	2	3	5	1	3	5
239	2	2	3	3	3	1
240	4	5	3	1	3	3
241	4	5	4	1	3	1
242	2	5	3	5	2	5
243	5	5	1	2	2	4
244	2	4	5	2	3	3
245	4	4	1	5	3	5
246	5	1	3	1	4	1
247	4	2	3	4	4	3
248	4	4	5	2	4	3
249	3	1	1	1	3	2
250	3	4	3	3	2	3
251	1	2	2	3	4	2
252	2	5	5	5	2	1
253	1	5	4	1	3	5
254	1	4	1	4	4	3
255	5	5	3	5	1	1
256	2	3	3	4	5	3
257	4	4	5	5	3	3
258	1	1	3	5	4	2
259	5	3	2	1	3	4
260	2	3	5	4	5	2
261	1	4	2	4	5	2
262	3	4	3	5	5	5
263	4	2	4	4	4	5
264	3	2	4	1	5	2
265	2	3	5	4	2	2
266	4	4	3	3	1	1
267	1	5	5	3	5	2
268	5	1	2	3	5	2
269	4	2	1	5	3	4
270	1	4	1	3	2	3
271	3	3	1	1	4	1
272	1	1	4	1	3	3
273	5	2	4	5	2	3
274	1	2	4	3	4	3
275	5	4	5	3	4	5
276	2	4	2	2	5	2
277	2	3	3	2	1	1
278	5	4	2	5	5	2
279	1	2	1	5	3	5
280	4	2	3	2	3	4
281	3	3	5	1	4	1
282	4	2	4	3	3	1
283	4	4	4	3	5	3
284	3	3	2	4	2	3
285	3	1	3	5	1	3
286	3	2	5	3	3	2
287	1	1	5	4	2	3
288	5	1	1	2	2	4
289	1	1	1	2	1	3
290	2	3	5	1	1	5
291	1	2	5	2	1	3
292	1	3	2	3	5	3
293	5	1	2	5	4	1
294	4	4	4	1	4	1
295	1	5	5	2	4	1
296	4	1	1	4	3	1
297	3	3	4	4	5	3
298	2	1	3	3	5	4
299	1	5	1	5	2	4
300	1	5	5	4	4	2
301	3	3	4	2	5	3
302	4	3	3	2	5	2
303	3	3	3	2	3	3
304	4	2	1	3	2	1
305	2	4	1	2	3	5
306	3	1	1	5	4	1
307	4	3	2	4	5	1
308	3	4	1	1	1	3
309	3	4	5	4	3	5
310	2	1	2	3	1	1
311	2	5	5	5	4	5
312	1	5	3	1	4	4
313	4	3	1	3	3	3
314	2	4	5	5	4	4
315	2	1	5	1	2	3
316	2	4	2	5	3	1
317	3	1	1	2	1	2
318	2	3	4	4	5	4
319	1	1	1	3	2	3
320	2	2	4	4	5	5
321	4	4	2	4	5	3
322	5	4	4	2	1	1
323	1	1	1	1	4	2
324	3	4	1	2	1	4
325	3	3	4	2	5	1
326	1	2	2	1	2	4
327	2	1	5	2	5	4
328	5	5	4	1	3	5
329	3	2	5	5	3	2
330	1	1	1	4	2	3
331	2	1	3	5	2	2
332	1	5	5	4	2	1
333	1	2	1	4	3	1
334	2	1	4	2	1	4
335	4	3	3	3	5	1
336	5	5	1	1	2	3
337	4	2	5	1	4	1
338	2	5	5	1	4	5
339	1	2	3	1	5	2
340	4	1	4	3	3	5
341	5	2	2	2	2	2
342	3	4	5	5	3	1
343	1	3	5	5	5	4
344	5	1	4	4	3	5
345	4	2	3	3	2	1
346	1	3	1	3	3	2
347	4	3	2	3	2	5
348	2	2	2	5	1	1
349	5	4	1	2	5	4
350	1	4	3	1	3	3
351	2	5	3	1	2	4
352	3	5	4	1	1	1
353	3	5	1	5	5	1
354	2	1	4	4	5	2
355	1	3	2	3	1	2
356	1	3	2	1	3	3
357	3	2	3	5	5	1
358	5	1	2	4	2	5
359	1	1	4	4	5	1
360	2	1	1	4	4	1
361	5	4	2	5	1	4
362	3	5	4	3	1	3
363	1	5	3	2	5	4
364	3	3	5	3	5	1
365	2	5	3	2	5	1
366	4	4	2	5	5	4
367	4	5	3	2	3	4
368	2	3	4	1	1	2
369	4	2	2	3	5	2
370	2	2	3	3	1	2
371	4	4	2	2	1	5
372	5	4	5	5	4	1
373	2	1	5	5	4	4
374	5	2	2	1	5	2
375	2	3	5	1	5	1
376	3	5	1	2	2	4
377	5	5	2	4	5	1
378	4	3	2	4	4	3
379	1	2	3	4	3	3
380	5	2	4	3	4	2
381	2	5	3	2	4	1
382	3	2	1	3	5	5
383	4	5	1	3	1	5
384	3	5	3	4	4	1
385	4	2	1	4	2	4
386	4	5	2	4	2	1
387	3	2	2	4	2	5
388	4	2	3	2	1	5
389	4	2	1	1	4	5
390	5	4	5	4	1	4
391	5	2	1	5	4	1
392	1	4	2	1	4	3
393	3	5	1	2	2	5
394	2	4	4	1	5	1
395	1	2	5	2	4	4
396	4	2	4	5	4	4
397	5	4	3	3	1	1
398	4	5	5	3	5	3
399	3	2	4	5	2	5
400	2	2	4	5	4	3
401	4	2	3	5	4	2
402	1	1	3	3	2	1
403	5	1	3	3	4	3
404	5	2	1	5	5	5
405	1	3	2	3	2	1
406	1	5	5	3	4	3
407	3	1	5	2	3	4
408	2	5	5	5	2	2
409	1	5	4	2	1	1
410	5	2	4	4	1	3
411	2	3	4	3	5	1
412	4	5	3	5	4	1
413	1	1	1	1	1	3
414	2	2	4	4	3	5
415	4	4	3	1	4	1
416	5	5	3	3	1	2
417	3	3	5	1	3	3
418	3	2	3	5	5	4
419	1	3	2	4	1	5
420	4	3	2	4	1	4
421	4	2	3	2	2	4
422	4	2	5	2	1	1
423	5	1	2	5	3	2
424	5	5	4	3	3	5
425	1	2	2	5	2	1
426	5	1	1	1	5	3
427	2	2	1	4	4	1
428	3	1	3	3	5	1
429	4	5	5	1	3	2
430	5	4	1	4	3	1
431	3	1	4	2	3	2
432	5	3	5	5	1	1
433	1	2	5	4	4	2
434	5	2	4	3	1	2
435	5	2	3	1	5	3
436	2	2	2	4	5	2
437	3	4	1	1	1	5
438	4	3	1	1	4	5
439	3	4	2	3	5	5
440	5	2	2	2	5	2
441	4	2	5	3	5	2
442	3	2	5	4	5	3
443	1	1	2	3	5	1
444	3	5	1	3	5	1
445	3	5	2	4	3	1
446	1	1	4	3	5	2
447	5	2	1	3	1	4
448	1	3	4	5	5	1
449	3	2	2	5	3	2
450	4	4	2	3	3	2
451	1	4	3	1	1	3
452	2	1	3	1	2	5
453	3	2	2	2	2	3
454	3	2	4	2	5	1
455	4	4	1	2	1	5
456	1	2	4	2	1	3
457	5	4	2	5	1	4
458	4	2	5	4	5	1
459	3	1	5	5	1	1
460	1	1	2	3	5	3
461	4	2	5	4	4	1
